query_id,query_label,query_content,rank,rec_news_id,rec_label,rec_title,score
test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国拉开战幕，中国女排迎来小组赛的首个对手马来西亚女排。马来西亚,1,test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国,0.9773
test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国拉开战幕，中国女排迎来小组赛的首个对手马来西亚女排。马来西亚,2,train_087270,体育,中国女排VS多米尼加首发：薛明马蕴雯大梅皆出战 新浪体育讯 北京时间7月31日晚，中国女排将在宁波北,0.5625
test_006495,体育,女排亚洲杯中国首战首发：大梅任队长 刘亚男接应 新浪体育讯 北京时间10月1日，首届女排亚洲杯在泰国拉开战幕，中国女排迎来小组赛的首个对手马来西亚女排。马来西亚,3,train_072056,体育,大奖赛中国女排VS巴西首发：主攻楚金玲搭档李娟 新浪体育讯 北京时间8月9日，2009年世界女排大奖,0.4827
test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，虽然北卡、杜克、堪萨斯、俄亥俄州立等强队早早出局，但今年的最,1,test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，,0.5541
test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，虽然北卡、杜克、堪萨斯、俄亥俄州立等强队早早出局，但今年的最,2,train_068898,体育,NBL外援选秀戴尔斯成状元 新赛季下月在宁夏揭幕 新华社北京5月16日体育专电（记者单磊）全国男子篮,0.2559
test_009173,体育,NCAA4强战明星们选情飙升 坎巴已经杀入选秀前十 新浪体育讯 今年最终四强战今天在休斯顿落下帷幕，虽然北卡、杜克、堪萨斯、俄亥俄州立等强队早早出局，但今年的最,3,train_054582,体育,ESPN篮球游戏超级选秀即将引爆 看谁是真的英雄！ 新浪体育讯 通往ESPN《篮球经理》大联盟总冠军,0.2531
test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙传奇》于上周完美收声，作为一位武术大师和电影明星，除了功夫外,1,test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙,0.8499
test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙传奇》于上周完美收声，作为一位武术大师和电影明星，除了功夫外,2,test_011966,娱乐,李小龙家人批评电视剧瞎编 要拍最真实电影版本 本报讯(记者易东方) 昨天，吉安永嘉公司在北京宣布，将,0.7248
test_006395,娱乐,《李小龙传奇》解密李小龙传奇初恋故事(图) 新浪娱乐讯 重现功夫巨星李小龙传奇一生的央视大剧《李小龙传奇》于上周完美收声，作为一位武术大师和电影明星，除了功夫外,3,train_006684,娱乐,叶璇成《李小龙》传奇至亲 自曝与李小龙很有缘 新浪娱乐讯 传记电影《李小龙》于11月26日全国公映，,0.7027
test_009198,娱乐,组图：刘若英否认新恋情 新书感悟不完美爱情 新浪娱乐讯 时隔五年，刘若英(奶茶)再度以作家身分出新书《我的不完美》，14日举行新书发表会，爸爸妈妈也特地前来为她,1,test_009198,娱乐,组图：刘若英否认新恋情 新书感悟不完美爱情 新浪娱乐讯 时隔五年，刘若英(奶茶)再度以作家身分出新书,0.9316
test_009198,娱乐,组图：刘若英否认新恋情 新书感悟不完美爱情 新浪娱乐讯 时隔五年，刘若英(奶茶)再度以作家身分出新书《我的不完美》，14日举行新书发表会，爸爸妈妈也特地前来为她,2,train_045896,娱乐,刘若英上海办新书签名会 戴婚戒发喜糖 信息时报(微博)讯 刘若英(微博)8月8日与大陆商人钟石在北京,0.4057
test_009198,娱乐,组图：刘若英否认新恋情 新书感悟不完美爱情 新浪娱乐讯 时隔五年，刘若英(奶茶)再度以作家身分出新书《我的不完美》，14日举行新书发表会，爸爸妈妈也特地前来为她,3,val_009429,娱乐,41岁“结婚狂”刘若英突然宣布已婚 ■这就是传说中的钟小江(圈中男子)，早前他曾被拍到与刘若英出入按,0.3258
test_006698,家居,活动说明 1、报名资格： 在中华人民共和国境内，凡经营的地板品牌为“三层实木复合地板全国推广活动”参与企业的品牌，并且销售三层实木复合地板的地板经销门店均可报名,1,train_054546,家居,张翔伟：中国三层实木复合地板应用情况及案例 张翔伟：各位领导，各位来宾，大家下午好！我是来自圣象集团,0.7733
test_006698,家居,活动说明 1、报名资格： 在中华人民共和国境内，凡经营的地板品牌为“三层实木复合地板全国推广活动”参与企业的品牌，并且销售三层实木复合地板的地板经销门店均可报名,2,train_093262,家居,解密：三层实木复合地板6大主打特色 三层实木复合地板凝聚了诸多地板制造的前沿科技成果，它更大、更宽、,0.747
test_006698,家居,活动说明 1、报名资格： 在中华人民共和国境内，凡经营的地板品牌为“三层实木复合地板全国推广活动”参与企业的品牌，并且销售三层实木复合地板的地板经销门店均可报名,3,train_098183,家居,地板小常识：三层实木复合地板全解析 三层实木复合地板的定义： 以实木拼板或单板为面层、实木条为芯层、,0.7458
test_009111,家居,质量月再兴热潮 润成创展为消费者严把关 6月9日下午，润成创展2010年质量动员大会暨“质量100，满意100”宣言活动如期开展，相关部门领导及生产车间全体员工,1,test_009111,家居,质量月再兴热潮 润成创展为消费者严把关 6月9日下午，润成创展2010年质量动员大会暨“质量100，,0.8887
test_009111,家居,质量月再兴热潮 润成创展为消费者严把关 6月9日下午，润成创展2010年质量动员大会暨“质量100，满意100”宣言活动如期开展，相关部门领导及生产车间全体员工,2,train_065751,房产,合生真相 尽管销售额微跌，但每股1.33港元的高收益和核心经营利润比较股东应占溢利降幅收窄，让合生创,0.4361
test_009111,家居,质量月再兴热潮 润成创展为消费者严把关 6月9日下午，润成创展2010年质量动员大会暨“质量100，满意100”宣言活动如期开展，相关部门领导及生产车间全体员工,3,train_006463,家居,“华山论剑” 润成创展华山峰会成功召开 广东润成创展木业有限公司走过光辉的10年历程，成为行业中的领,0.3993
test_006508,房产,金科西府 名墅天成 温泉，宫廷，鸟语，花香……金科西府，建你所想，筑你所梦，开启人生幸福之门。 尽善尽美 规划人居生活 京北地区，向来是森林绿化率、绿植覆盖率、,1,test_006508,房产,金科西府 名墅天成 温泉，宫廷，鸟语，花香……金科西府，建你所想，筑你所梦，开启人生幸福之门。 尽善,0.5691
test_006508,房产,金科西府 名墅天成 温泉，宫廷，鸟语，花香……金科西府，建你所想，筑你所梦，开启人生幸福之门。 尽善尽美 规划人居生活 京北地区，向来是森林绿化率、绿植覆盖率、,2,train_063242,房产,金科规划人居生活 精益求精打造建筑细节(组图) 尽善尽美 规划人居生活 京北地区，向来是森林绿化率、,0.5368
test_006508,房产,金科西府 名墅天成 温泉，宫廷，鸟语，花香……金科西府，建你所想，筑你所梦，开启人生幸福之门。 尽善尽美 规划人居生活 京北地区，向来是森林绿化率、绿植覆盖率、,3,train_077907,房产,金科与万科中海共同荣膺09中国蓝筹地产大奖 11月6日，2009年中国蓝筹地产评选峰会暨颁奖典礼在北,0.4001
test_009083,房产,一渡新新小镇5月8日推独栋双拼别墅全款96折(图) 新浪房产讯(编辑 明静) 一渡新新小镇(论坛 相册 户型 样板间 地图搜索)项目一期B已于2010年5月8日,1,test_009083,房产,一渡新新小镇5月8日推独栋双拼别墅全款96折(图) 新浪房产讯(编辑 明静) 一渡新新小镇(论坛 相,0.678
test_009083,房产,一渡新新小镇5月8日推独栋双拼别墅全款96折(图) 新浪房产讯(编辑 明静) 一渡新新小镇(论坛 相册 户型 样板间 地图搜索)项目一期B已于2010年5月8日,2,val_000746,房产,房山一渡新新小镇4月18日开盘均价8600元(图) 新浪房产讯(编辑 晏阳)一渡新新小镇(论坛 相册,0.5564
test_009083,房产,一渡新新小镇5月8日推独栋双拼别墅全款96折(图) 新浪房产讯(编辑 明静) 一渡新新小镇(论坛 相册 户型 样板间 地图搜索)项目一期B已于2010年5月8日,3,val_008509,房产,房山一渡新新小镇别墅在售购房送球卡或抵房款 一渡新新小镇(论坛 相册 户型 样板间 点评 地图搜索),0.509
test_006455,教育,在澳留学生子女须交天价学费被指违联合国公约 中新网8月16日电 据澳洲(微博)新快网报道，在澳留学生和其他临时签证持有者被迫每年为他们的孩子支付数千元学费，让他,1,test_006455,教育,在澳留学生子女须交天价学费被指违联合国公约 中新网8月16日电 据澳洲(微博)新快网报道，在澳留学生,0.6362
test_006455,教育,在澳留学生子女须交天价学费被指违联合国公约 中新网8月16日电 据澳洲(微博)新快网报道，在澳留学生和其他临时签证持有者被迫每年为他们的孩子支付数千元学费，让他,2,train_034245,教育,2011年考研英语大作文真题范文 What a terrible and shocking scen,0.3845
test_006455,教育,在澳留学生子女须交天价学费被指违联合国公约 中新网8月16日电 据澳洲(微博)新快网报道，在澳留学生和其他临时签证持有者被迫每年为他们的孩子支付数千元学费，让他,3,train_041761,教育,2010年托福词汇测试题及参考答案 1. Though many people observed t,0.3633
test_009193,教育,留学调查：咨询热度高 选择带盲目性 “你小孩准备去哪个国家？”“我想读艺术专业，您觉得哪个国家好？”近日，记者来到长沙的多家出国留学中介服务机构采访，所到之处，,1,test_009193,教育,留学调查：咨询热度高 选择带盲目性 “你小孩准备去哪个国家？”“我想读艺术专业，您觉得哪个国家好？”,0.631
test_009193,教育,留学调查：咨询热度高 选择带盲目性 “你小孩准备去哪个国家？”“我想读艺术专业，您觉得哪个国家好？”近日，记者来到长沙的多家出国留学中介服务机构采访，所到之处，,2,train_006911,社会,出国留学成部分落榜生第二志愿 金融危机导致留学费用整体降低三成，新课改逼近复读风险增大……高招本科一,0.5103
test_009193,教育,留学调查：咨询热度高 选择带盲目性 “你小孩准备去哪个国家？”“我想读艺术专业，您觉得哪个国家好？”近日，记者来到长沙的多家出国留学中介服务机构采访，所到之处，,3,test_002713,教育,又到出国高峰期 留学规划“回归”理性 每年高考(微博)前后都是出国的旺季，各种规模的国际教育展接踵而,0.5093
