sample_id,method,content,reference,prediction
valid_000001,TextRank,日前，方舟子发文直指林志颖旗下爱碧丽推销假保健品，引起哗然。调查发现，爱碧丽没有自己的生产加工厂。其胶原蛋白饮品无核心研发，全部代工生产。号称有“逆生长”功效的爱碧丽“梦幻奇迹限量组”售价高达1080元，实际成本仅为每瓶4元！,林志颖公司疑涉虚假营销无厂房无研发,日前，方舟子发文直指林志颖旗下爱碧丽推销假保健品，引起哗然。调查发现，爱碧丽没有自己的生产加工厂。
valid_000002,TextRank,韩方应对路径可以概括为：企业道歉担责；政府公正不护短；民间祈福关怀。他们深知形象的重要，竭力呵护企业品牌和国家形象。正如有评论，韩国“政府+企业+民众”三位一体式呵护韩国国家形象的“苦心经营”，的确有值得我们借鉴之处。,从韩亚航空事故看其应对路径,他们深知形象的重要，竭力呵护企业品牌和国家形象。正如有评论，韩国“政府+企业+民众”三位一体式呵护韩国国家形象的“苦心经营”，的
valid_000003,TextRank,63岁退休教师谢淑华，拉着人力板车，历时1年，走了2万4千里路，带着年过九旬的妈妈环游中国，完成了妈妈“一辈子在锅台边转，也想出去走走”的心愿。她说：“妈妈愿意出去走走，我就愿意拉着，孝心不能等，能走多远就走多远。,女子用板车拉九旬老母环游中国1年走2万4千里,63岁退休教师谢淑华，拉着人力板车，历时1年，走了2万4千里路，带着年过九旬的妈妈环游中国，完成了妈妈“一辈子在锅台边转，也想出
valid_000004,TextRank,昨天，包括工农中建交五大行在内的多家银行，不约而同地在官网发布公告称，它们的房地产贷款政策没有变化。多家银行表示，会支持居民购买首套住房。一名金融问题专家称，“目前房价不具备大涨大跌的基础，特别是一二线城市狂跌的可能性小。”,银行集体发声：房贷政策没变,昨天，包括工农中建交五大行在内的多家银行，不约而同地在官网发布公告称，它们的房地产贷款政策没有变化。多家银行表示，会支持居民购买
valid_000005,TextRank,广东4名律师致函中国民航局，要求其规定，航班起飞前要向乘客公布机组人员信息包括安全飞行时间、职业经历等。沪上业内人士认为，一般能被安排执飞任务的飞行员，均拥有民航认可的飞行资质。而责任心和使命感是无法通过飞行时间反映。,四律师上书民航总局：起飞前应公布机长信息,广东4名律师致函中国民航局，要求其规定，航班起飞前要向乘客公布机组人员信息包括安全飞行时间、职业经历等。而责任心和使命感是无法通
valid_000006,TextRank,任教五十年，钱理群在2012年教师节前夕宣布“告别教育”。从北大退休后，钱理群投身中学教育，试图“改变人心”，他以鲁迅自励，要在绝望中反抗，但基础教育十年试水，却令他收获“丰富的痛苦”。他说，—切不能为应试教育服务的教育根本无立足之地。,钱理群“告别教育”,任教五十年，钱理群在2012年教师节前夕宣布“告别教育”。从北大退休后，钱理群投身中学教育，试图“改变人心”，他以鲁迅自励，要在
valid_000007,TextRank,①北京和上海户籍的游客可获得韩国多次签证；②“整容客”可以不经由韩国使领馆、直接在网上申请签证；③中泰免签的实施日期尚未敲定；④越南已向中国持通行证旅游的公民全面开放。,中国游客大增多国放宽签证,①北京和上海户籍的游客可获得韩国多次签证；②“整容客”可以不经由韩国使领馆、直接在网上申请签证；
valid_000008,TextRank,"12月12日，多家被立案稽查的沪市公司集体对外发布退市风险提示公告，*ST国创位列""""黑名单""""。目前证监会调查仍在进行，*ST国创尚未收到此次立案调查书面结论意见。一旦立案调查事项触及相关规定，公司股票将被实施退市风险警示。""",信披违规外加业绩亏损*ST国创退市风险概率大增,"12月12日，多家被立案稽查的沪市公司集体对外发布退市风险提示公告，*ST国创位列""""黑名单""""。一旦立案调查事项触及相关规定，"
valid_000009,TextRank,据微信公众号“界面”报道，4日上午10点左右，中国发改委反垄断调查小组突击查访奔驰上海办事处，调取数据材料，并对多名奔驰高管进行了约谈。截止昨日晚9点，包括北京梅赛德斯-奔驰销售服务有限公司东区总经理在内的多名管理人员仍留在上海办公室内,发改委反垄断调查小组突击调查奔驰上海办事处,据微信公众号“界面”报道，4日上午10点左右，中国发改委反垄断调查小组突击查访奔驰上海办事处，调取数据材料，并对多名奔驰高管进行
valid_000010,TextRank,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都耳熟能详的口号：我是查理。这名伊斯兰教先知的头顶上还写着一句话：宽恕与原谅。该封面的作者上周因为迟到逃过一劫。,巴黎查理周刊最新一期封面（图）,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都
valid_000011,TextRank,步入深水区的房地产调控政策走向，再度引发官媒聚焦。15日，新华社旗下《经济参考报》报道称，相关内部会议透露，将加快研究包括土地、金融、财税等方面的房地产中长期调控政策。“去行政化”将成为未来调控方向。,官媒吹风房地产调控长效机制：去行政化成主基调,步入深水区的房地产调控政策走向，再度引发官媒聚焦。15日，新华社旗下《经济参考报》报道称，相关内部会议透露，将加快研究包括土地、
valid_000012,TextRank,昨天，上海女子教育联盟和上海开放大学女子学院成立揭牌。上海开放大学女子学院国顺路、中山西路院区以及首批试点的闵行区、闸北区和长宁区学习中心，都已推出首期学习菜单。上海市妇联有关人士表示，男性也可以报名参加学习。,女子大学成立男性也可报名,昨天，上海女子教育联盟和上海开放大学女子学院成立揭牌。上海开放大学女子学院国顺路、中山西路院区以及首批试点的闵行区、闸北区和长宁
valid_000013,TextRank,“小酒”在白酒行业调整期内备受酒企的热爱。在此次糖酒会上，更是作为一个“主角”登上酒企的展位。而据本报记者了解，本届成都糖酒会上，包括西凤、五粮液、川源、衡水老白干、双沟等都推出了自己的新款小酒。,鏖战糖酒会小酒今年市场规模有望破100亿元,“小酒”在白酒行业调整期内备受酒企的热爱。在此次糖酒会上，更是作为一个“主角”登上酒企的展位。
valid_000014,TextRank,撰写学术论文和学术专著规则之一，就是要尽量紧扣论题，无关本题的话说得太多超过了极限，谓之“掺水”。《明代大慈法王研究》硬是把两三篇论文就能搞定的内容极不自然地抻拉成一本专著，这种态度非常成问题。这样的“掺水专著”居然还能获奖，让人无法理解,掺水专著居然能获奖,撰写学术论文和学术专著规则之一，就是要尽量紧扣论题，无关本题的话说得太多超过了极限，谓之“掺水”。这样的“掺水专著”居然还能获奖
valid_000015,TextRank,沙特王子阿尔瓦利德·本·塔拉尔表示，他赞同政府不减产的决定，因为减产会让沙特“赔了夫人又折兵”。他指出OPEC国家不可能达成一致的减产协议，因为“沙特信不过其他国家”。“我确信我们再也看不到油价回到100美元了。”,沙特王子重申不减产美国页岩革命命悬一线,沙特王子阿尔瓦利德·本·塔拉尔表示，他赞同政府不减产的决定，因为减产会让沙特“赔了夫人又折兵”。他指出OPEC国家不可能达成一致
valid_000016,TextRank,昨天，杭城最高气温又达到了28.4℃，今天最高气温可能冲到30℃。不过明天到后天有一股强冷空气来袭，杭州明天小雨转阴，气温19-26℃。秋雨寒，出门最好还是备把伞。随着冷空气的渗透，后天会是本周最凉的一天，气温16-21℃。,明后天有冷空气南下后天最高气温降到21℃,不过明天到后天有一股强冷空气来袭，杭州明天小雨转阴，气温19-26℃。随着冷空气的渗透，后天会是本周最凉的一天，气温16-21℃
valid_000017,TextRank,"马云说过：""""打败你的不是技术，可能只是一份文件""""。面对市场创新带来的风险，有关部门的理念需要调整，也要坚持“市场决定”的原则，提高风险管控的艺术。具体到互联网金融来说，只要把握住系统性风险这个上限不放松，何须太多父爱？""",不要用“文件”打败“中国创新”,面对市场创新带来的风险，有关部门的理念需要调整，也要坚持“市场决定”的原则，提高风险管控的艺术。具体到互联网金融来说，只要把握住
valid_000018,TextRank,副组长李克强、刘云山、张高丽出席。会议审议通过了《中央全面深化改革领导小组工作规则》;审议通过了经济体制和生态文明体制改革、民主法制领域改革、文化体制改革、社会体制改革、党的建设制度改革、纪律检查体制改革6个专项小组名单,习近平主持召开中央全面深化改革领导小组首次会议,会议审议通过了《中央全面深化改革领导小组工作规则》;审议通过了经济体制和生态文明体制改革、民主法制领域改革、文化体制改革、社会体
valid_000019,TextRank,昨日有消息称，目前已经有两家拟IPO企业接到了监管层的“封卷”通知，下一步则是等待批文下放。这意味着两家公司可择日上市，而IPO也将重新开闸，成为了昨日市场下跌主因。但事实上，封卷远不能跟获得发行批文，乃至完成上市程序挂钩。,IPO重启闪了大盘的腰,昨日有消息称，目前已经有两家拟IPO企业接到了监管层的“封卷”通知，下一步则是等待批文下放。这意味着两家公司可择日上市，而IPO
valid_000020,TextRank,在三环路羊犀立交桥公交站旁，一位留着红色波波头、穿着粉红套裙的“女士”在此摆摊卖卫生巾。一旦有人照顾生意，一句粗犷低沉的“谢谢”让女顾客们吓了一跳：原来，卖家是一位男士。他的女儿得了白血病，家境赤贫的他希望借此筹钱为女儿看病。,父亲扮女人卖卫生巾筹钱救女儿,在三环路羊犀立交桥公交站旁，一位留着红色波波头、穿着粉红套裙的“女士”在此摆摊卖卫生巾。一旦有人照顾生意，一句粗犷低沉的“谢谢”
valid_000001,Pegasus-base zero-shot,日前，方舟子发文直指林志颖旗下爱碧丽推销假保健品，引起哗然。调查发现，爱碧丽没有自己的生产加工厂。其胶原蛋白饮品无核心研发，全部代工生产。号称有“逆生长”功效的爱碧丽“梦幻奇迹限量组”售价高达1080元，实际成本仅为每瓶4元！,林志颖公司疑涉虚假营销无厂房无研发,日前，方舟子发文直指林志颖旗下爱碧丽推销假保健品，引起哗然。
valid_000002,Pegasus-base zero-shot,韩方应对路径可以概括为：企业道歉担责；政府公正不护短；民间祈福关怀。他们深知形象的重要，竭力呵护企业品牌和国家形象。正如有评论，韩国“政府+企业+民众”三位一体式呵护韩国国家形象的“苦心经营”，的确有值得我们借鉴之处。,从韩亚航空事故看其应对路径,韩方应对路径可以概括为：企业道歉担责；政府公正不护短；民间祈福关怀。
valid_000003,Pegasus-base zero-shot,63岁退休教师谢淑华，拉着人力板车，历时1年，走了2万4千里路，带着年过九旬的妈妈环游中国，完成了妈妈“一辈子在锅台边转，也想出去走走”的心愿。她说：“妈妈愿意出去走走，我就愿意拉着，孝心不能等，能走多远就走多远。,女子用板车拉九旬老母环游中国1年走2万4千里,63岁退休教师谢淑华，拉着人力板车，历时1年，走了2万4千里路，带着年过九旬的妈妈环游中国，完成了妈妈“一辈子在锅台边转，也想出去走走”的心愿。
valid_000004,Pegasus-base zero-shot,昨天，包括工农中建交五大行在内的多家银行，不约而同地在官网发布公告称，它们的房地产贷款政策没有变化。多家银行表示，会支持居民购买首套住房。一名金融问题专家称，“目前房价不具备大涨大跌的基础，特别是一二线城市狂跌的可能性小。”,银行集体发声：房贷政策没变,一名金融问题专家称，“目前房价不具备大涨大跌的基础，特别是一二线城市狂跌的可能性小。
valid_000005,Pegasus-base zero-shot,广东4名律师致函中国民航局，要求其规定，航班起飞前要向乘客公布机组人员信息包括安全飞行时间、职业经历等。沪上业内人士认为，一般能被安排执飞任务的飞行员，均拥有民航认可的飞行资质。而责任心和使命感是无法通过飞行时间反映。,四律师上书民航总局：起飞前应公布机长信息,沪上业内人士认为，一般能被安排执飞任务的飞行员，均拥有民航认可的飞行资质。
valid_000006,Pegasus-base zero-shot,任教五十年，钱理群在2012年教师节前夕宣布“告别教育”。从北大退休后，钱理群投身中学教育，试图“改变人心”，他以鲁迅自励，要在绝望中反抗，但基础教育十年试水，却令他收获“丰富的痛苦”。他说，—切不能为应试教育服务的教育根本无立足之地。,钱理群“告别教育”,任教五十年，钱理群在2012年教师节前夕宣布“告别教育”。
valid_000007,Pegasus-base zero-shot,①北京和上海户籍的游客可获得韩国多次签证；②“整容客”可以不经由韩国使领馆、直接在网上申请签证；③中泰免签的实施日期尚未敲定；④越南已向中国持通行证旅游的公民全面开放。,中国游客大增多国放宽签证,北京和上海户籍的游客可获得韩国多次签证；“整容客”可以不经由韩国使领馆、直接在网上申请签证；
valid_000008,Pegasus-base zero-shot,"12月12日，多家被立案稽查的沪市公司集体对外发布退市风险提示公告，*ST国创位列""""黑名单""""。目前证监会调查仍在进行，*ST国创尚未收到此次立案调查书面结论意见。一旦立案调查事项触及相关规定，公司股票将被实施退市风险警示。""",信披违规外加业绩亏损*ST国创退市风险概率大增,目前证监会调查仍在进行，* st国创尚未收到此次立案调查书面结论意见。
valid_000009,Pegasus-base zero-shot,据微信公众号“界面”报道，4日上午10点左右，中国发改委反垄断调查小组突击查访奔驰上海办事处，调取数据材料，并对多名奔驰高管进行了约谈。截止昨日晚9点，包括北京梅赛德斯-奔驰销售服务有限公司东区总经理在内的多名管理人员仍留在上海办公室内,发改委反垄断调查小组突击调查奔驰上海办事处,截止昨日晚9点，包括北京梅赛德斯-奔驰销售服务有限公司东区总经理在内的多名管理人员仍留在上海办公室内
valid_000010,Pegasus-base zero-shot,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都耳熟能详的口号：我是查理。这名伊斯兰教先知的头顶上还写着一句话：宽恕与原谅。该封面的作者上周因为迟到逃过一劫。,巴黎查理周刊最新一期封面（图）,12日，上周遭到极端分子恐怖袭击的《查理周刊》公布了“幸存者专刊”的封面，绿色的底色上，穆罕默德嘴角向下，手中举着一周来所有人都耳熟能详的口号：我是查理。
valid_000011,Pegasus-base zero-shot,步入深水区的房地产调控政策走向，再度引发官媒聚焦。15日，新华社旗下《经济参考报》报道称，相关内部会议透露，将加快研究包括土地、金融、财税等方面的房地产中长期调控政策。“去行政化”将成为未来调控方向。,官媒吹风房地产调控长效机制：去行政化成主基调,步入深水区的房地产调控政策走向，再度引发官媒聚焦。
valid_000012,Pegasus-base zero-shot,昨天，上海女子教育联盟和上海开放大学女子学院成立揭牌。上海开放大学女子学院国顺路、中山西路院区以及首批试点的闵行区、闸北区和长宁区学习中心，都已推出首期学习菜单。上海市妇联有关人士表示，男性也可以报名参加学习。,女子大学成立男性也可报名,昨天，上海女子教育联盟和上海开放大学女子学院成立揭牌。
valid_000013,Pegasus-base zero-shot,“小酒”在白酒行业调整期内备受酒企的热爱。在此次糖酒会上，更是作为一个“主角”登上酒企的展位。而据本报记者了解，本届成都糖酒会上，包括西凤、五粮液、川源、衡水老白干、双沟等都推出了自己的新款小酒。,鏖战糖酒会小酒今年市场规模有望破100亿元,“小酒”在白酒行业调整期内备受酒企的热爱。
valid_000014,Pegasus-base zero-shot,撰写学术论文和学术专著规则之一，就是要尽量紧扣论题，无关本题的话说得太多超过了极限，谓之“掺水”。《明代大慈法王研究》硬是把两三篇论文就能搞定的内容极不自然地抻拉成一本专著，这种态度非常成问题。这样的“掺水专著”居然还能获奖，让人无法理解,掺水专著居然能获奖,撰写学术论文和学术专著规则之一，就是要尽量紧扣论题，无关本题的话说得太多超过了极限，谓之“掺水”。
valid_000015,Pegasus-base zero-shot,沙特王子阿尔瓦利德·本·塔拉尔表示，他赞同政府不减产的决定，因为减产会让沙特“赔了夫人又折兵”。他指出OPEC国家不可能达成一致的减产协议，因为“沙特信不过其他国家”。“我确信我们再也看不到油价回到100美元了。”,沙特王子重申不减产美国页岩革命命悬一线,沙特王子阿尔瓦利德本塔拉尔表示，他赞同政府不减产的决定，因为减产会让沙特“赔了夫人又折兵”。
valid_000016,Pegasus-base zero-shot,昨天，杭城最高气温又达到了28.4℃，今天最高气温可能冲到30℃。不过明天到后天有一股强冷空气来袭，杭州明天小雨转阴，气温19-26℃。秋雨寒，出门最好还是备把伞。随着冷空气的渗透，后天会是本周最凉的一天，气温16-21℃。,明后天有冷空气南下后天最高气温降到21℃,昨天，杭城最高气温又达到了28.4，今天最高气温可能冲到30。
valid_000017,Pegasus-base zero-shot,"马云说过：""""打败你的不是技术，可能只是一份文件""""。面对市场创新带来的风险，有关部门的理念需要调整，也要坚持“市场决定”的原则，提高风险管控的艺术。具体到互联网金融来说，只要把握住系统性风险这个上限不放松，何须太多父爱？""",不要用“文件”打败“中国创新”,"马云说过："" "" 打败你的不是技术，可能只是一份文件"" "" 。"
valid_000018,Pegasus-base zero-shot,副组长李克强、刘云山、张高丽出席。会议审议通过了《中央全面深化改革领导小组工作规则》;审议通过了经济体制和生态文明体制改革、民主法制领域改革、文化体制改革、社会体制改革、党的建设制度改革、纪律检查体制改革6个专项小组名单,习近平主持召开中央全面深化改革领导小组首次会议,副组长李克强、刘云山、张高丽出席。
